yearID,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,bbrefID
1891,19,WAS,AA,5.0,20.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,1.0,0.1,0.514,0.5,0.1,0.0,1.0,,/1,,freembu01
1898,26,WHS,NL,29.0,119.0,10.0,0.0,0.0,-2.0,-2.0,6.0,0.6,4.0,10.0,1.0,0.519,0.503,1.2,-0.4,12.0,,O,,freembu01
1899,27,WHS,NL,155.0,634.0,37.0,-1.0,0.0,-12.0,-9.0,15.0,1.3,22.0,37.0,3.5,0.509,0.509,4.7,-2.0,49.0,,*O/1,,freembu01
1900,28,BSN,NL,117.0,461.0,5.0,-1.0,0.0,-2.0,-5.0,-3.0,-0.4,16.0,12.0,1.3,0.497,0.498,1.5,-0.7,14.0,,O3,,freembu01
1901,29,BOS,AL,129.0,548.0,37.0,-1.0,0.0,0.0,-3.0,32.0,2.8,20.0,52.0,4.8,0.522,0.518,4.8,-0.3,52.0,,*3/49,,freembu01
1902,30,BOS,AL,138.0,608.0,22.0,-1.0,0.0,6.0,-7.0,20.0,1.8,21.0,41.0,3.9,0.514,0.512,3.5,-0.1,35.0,,*9/7,,freembu01
1903,31,BOS,AL,141.0,611.0,24.0,0.0,0.0,0.0,-8.0,17.0,1.6,21.0,38.0,4.0,0.513,0.511,4.1,-1.0,38.0,,*9,,freembu01
1904,32,BOS,AL,157.0,654.0,16.0,0.0,0.0,-3.0,-8.0,5.0,0.4,23.0,28.0,3.1,0.504,0.504,3.6,-1.5,31.0,,*9,,freembu01
1905,33,BOS,AL,130.0,518.0,5.0,-1.0,0.0,-4.0,-5.0,-5.0,-0.7,19.0,14.0,1.4,0.495,0.496,1.9,-1.1,17.0,,39/H58,,freembu01
1906,34,BOS,AL,121.0,433.0,1.0,0.0,0.0,-2.0,-5.0,-6.0,-0.7,16.0,9.0,1.0,0.494,0.496,1.2,-0.8,11.0,,93H/5,,freembu01
1907,35,BOS,AL,4.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,1.0,0.1,0.516,0.5,0.1,0.0,1.0,,/9H,,freembu01
1899,25,WHS,NL,147.0,668.0,-12.0,-2.0,0.0,4.0,-6.0,-16.0,-1.6,22.0,6.0,0.7,0.49,0.491,0.4,-0.2,2.0,,*O,,slaglji01
1900,26,PHI,NL,141.0,664.0,-1.0,-1.0,0.0,-5.0,-8.0,-15.0,-1.5,21.0,6.0,0.7,0.49,0.492,1.2,-1.2,11.0,,*O,,slaglji01
1901,27,PHI,NL,48.0,209.0,-9.0,0.0,0.0,3.0,-3.0,-9.0,-1.0,7.0,-2.0,-0.2,0.481,0.494,-0.5,0.0,-5.0,,7,,slaglji01
1901,27,BSN,NL,66.0,296.0,-5.0,0.0,0.0,-1.0,-4.0,-10.0,-1.1,9.0,-1.0,0.0,0.485,0.494,0.1,-0.5,0.0,,9/87,,slaglji01
1902,28,CHC,NL,117.0,523.0,19.0,2.0,0.0,9.0,-6.0,24.0,2.6,16.0,40.0,4.4,0.523,0.516,3.4,0.3,31.0,,*78/H,,slaglji01
1903,29,CHC,NL,139.0,650.0,18.0,-1.0,0.0,5.0,-7.0,15.0,1.5,19.0,35.0,3.5,0.511,0.509,2.9,-0.1,30.0,,*78,,slaglji01
1904,30,CHC,NL,120.0,539.0,2.0,0.0,0.0,-2.0,-6.0,-6.0,-0.6,16.0,10.0,1.0,0.495,0.496,1.2,-0.8,12.0,,*78,,slaglji01
1905,31,CHC,NL,155.0,694.0,8.0,-2.0,0.0,6.0,-5.0,7.0,0.8,21.0,28.0,2.9,0.505,0.505,2.3,0.2,22.0,,*87,,slaglji01
1906,32,CHC,NL,127.0,578.0,-8.0,-1.0,0.0,9.0,-3.0,-3.0,-0.5,17.0,14.0,1.3,0.497,0.498,0.4,0.6,5.0,,*8/7,,slaglji01
1907,33,CHC,NL,136.0,585.0,2.0,-1.0,0.0,-1.0,-4.0,-4.0,-0.6,18.0,15.0,1.4,0.497,0.497,1.7,-0.6,15.0,,*8/7H,,slaglji01
1908,34,CHC,NL,104.0,419.0,-10.0,0.0,0.0,2.0,-3.0,-12.0,-1.6,14.0,2.0,-0.2,0.485,0.49,-0.4,-0.2,0.0,,87/H,,slaglji01
1895,25,BSN,NL,11.0,44.0,-3.0,0.0,0.0,-2.0,-1.0,-5.0,-0.4,2.0,-4.0,-0.2,0.464,0.498,-0.1,-0.2,-2.0,,O,,colliji01
1895,25,LOU,NL,96.0,418.0,0.0,-1.0,0.0,6.0,2.0,7.0,0.5,14.0,21.0,1.9,0.506,0.503,1.5,0.6,15.0,,5O/46,,colliji01
1896,26,BSN,NL,84.0,350.0,1.0,-1.0,0.0,8.0,3.0,10.0,0.8,12.0,22.0,2.0,0.51,0.505,1.4,0.9,14.0,,5/6,,colliji01
1897,27,BSN,NL,134.0,585.0,23.0,-2.0,0.0,15.0,4.0,40.0,3.3,20.0,60.0,5.3,0.525,0.521,4.1,1.6,45.0,,*5,,colliji01
1898,28,BSN,NL,152.0,657.0,30.0,-1.0,0.0,15.0,5.0,49.0,4.6,22.0,72.0,6.9,0.531,0.529,5.6,1.9,57.0,,*5,,colliji01
1899,29,BSN,NL,151.0,660.0,-10.0,-1.0,0.0,24.0,5.0,19.0,1.6,22.0,41.0,3.9,0.511,0.511,1.8,2.6,17.0,"$2,400",*5,,colliji01
1900,30,BSN,NL,142.0,639.0,-3.0,-1.0,0.0,10.0,5.0,11.0,0.9,21.0,32.0,3.1,0.507,0.506,2.2,1.3,22.0,,*5/6,,colliji01
1901,31,BOS,AL,138.0,617.0,31.0,-1.0,0.0,16.0,4.0,51.0,4.5,21.0,72.0,6.7,0.533,0.528,5.2,1.9,56.0,"$4,000",*5,,colliji01
1902,32,BOS,AL,108.0,474.0,14.0,-1.0,0.0,12.0,4.0,29.0,2.7,17.0,45.0,4.4,0.526,0.517,3.3,1.5,33.0,"$4,000",*5/H,,colliji01
1903,33,BOS,AL,130.0,582.0,17.0,0.0,0.0,9.0,4.0,30.0,3.1,19.0,50.0,5.3,0.526,0.52,4.4,1.4,41.0,"$4,000",*5,,colliji01
1904,34,BOS,AL,156.0,677.0,7.0,0.0,0.0,11.0,5.0,23.0,2.7,23.0,47.0,5.3,0.518,0.518,4.1,1.9,36.0,,*5,,colliji01
1905,35,BOS,AL,131.0,558.0,13.0,-1.0,0.0,5.0,4.0,22.0,2.5,20.0,42.0,4.7,0.52,0.516,4.1,1.1,37.0,,*5,,colliji01
1906,36,BOS,AL,37.0,149.0,3.0,0.0,0.0,-1.0,1.0,3.0,0.3,5.0,8.0,0.9,0.509,0.502,1.0,0.0,9.0,,5/H,,colliji01
1907,37,BOS,AL,41.0,175.0,3.0,0.0,0.0,-2.0,1.0,2.0,0.3,6.0,8.0,0.9,0.506,0.502,1.1,-0.1,10.0,,5,,colliji01
1907,37,PHA,AL,99.0,403.0,5.0,0.0,0.0,-2.0,3.0,6.0,0.7,14.0,20.0,2.2,0.507,0.504,2.4,0.2,22.0,"$8,500",5/H,,colliji01
1908,38,PHA,AL,115.0,468.0,-15.0,0.0,0.0,-3.0,4.0,-14.0,-1.8,17.0,3.0,0.0,0.485,0.489,0.4,0.1,6.0,"$8,500",*5,,colliji01
1888,21,CHC,NL,71,308,5,-1,0,1,-4,1,0.1,10,11,1.2,.502,.501,1.2,-0.3,10,"$2,000",O/65,,duffyhu01
1889,22,CHC,NL,136,632,15,3,0,-2,-7,9,0.6,21,30,2.7,.506,.505,3.0,-0.9,32,"$2,000",*O6,,duffyhu01
1890,23,CHI,PL,137,657,21,6,0,16,-8,35,2.8,15,50,4.2,.519,.516,2.9,0.8,34,,*O,,duffyhu01
1891,24,BOS,AA,127,601,35,7,0,6,-8,40,3.4,14,53,4.8,.526,.521,4.2,-0.1,47,,*O/56,,duffyhu01
1892,25,BSN,NL,147,673,17,3,0,-1,-8,11,1.0,22,33,3.3,.507,.507,3.5,-0.9,34,,*O/5,,duffyhu01
1893,26,BSN,NL,131,611,24,0,0,2,-7,19,1.4,20,40,3.4,.511,.509,3.3,-0.4,38,,*O,,duffyhu01
1894,27,BSN,NL,125,616,75,1,0,2,-7,71,4.9,20,91,6.8,.540,.530,6.8,-0.4,89,,*O/6,,duffyhu01
1895,28,BSN,NL,131,618,30,0,0,6,-7,28,2.1,20,49,4.2,.517,.513,3.8,-0.1,42,,*O,,duffyhu01
1896,29,BSN,NL,131,601,-4,0,0,7,-8,-4,-0.4,20,16,1.6,.497,.498,1.1,-0.1,9,,*O/46,,duffyhu01
1897,30,BSN,NL,134,621,25,1,0,8,-8,25,2.1,20,46,4.1,.516,.513,3.5,0.0,38,,*O/46,,duffyhu01
1898,31,BSN,NL,152,645,7,-1,0,14,-9,11,1.0,22,33,3.3,.507,.507,2.1,0.5,19,,*O/352,,duffyhu01
1899,32,BSN,NL,147,641,-14,0,0,12,-9,-11,-1.1,22,11,1.2,.493,.494,0.2,0.3,-1,"$2,750",*O,,duffyhu01
1900,33,BSN,NL,55,202,0,0,0,2,-3,0,-0.1,7,7,0.7,.500,.500,0.5,-0.1,5,"$3,000",O/4,,duffyhu01
1901,34,MLA,AL,79,313,8,0,0,-3,-3,2,0.2,11,13,1.3,.502,.501,1.6,-0.5,16,,8/7H,,duffyhu01
1904,37,PHI,NL,18,60,4,0,0,-3,-1,0,0.0,2,2,0.2,.499,.500,0.5,-0.4,5,,/78H,,duffyhu01
1905,38,PHI,NL,15,41,1,0,0,0,0,1,0.1,1,2,0.2,.505,.500,0.2,0.0,2,,/H98,,duffyhu01
1906,39,PHI,NL,1,1,0,0,0,0,0,0,0.0,0,0,,.475,.500,,0.0,0,,/H,,duffyhu01
1889,23,KCC,AA,136,648,2,5,0,-4,8,12,0.9,13,25,2.3,.507,.506,2.6,0.4,29,,*6/4O,,longhe01
1890,24,BSN,NL,101,475,-8,3,0,6,7,8,0.5,15,23,2.1,.507,.504,1.7,1.0,17,,*6,,longhe01
1891,25,BSN,NL,139,665,16,5,0,3,9,33,2.6,21,54,4.7,.521,.518,4.7,0.9,51,,*6,,longhe01
1892,26,BSN,NL,151,698,3,5,0,10,9,27,2.4,22,49,4.7,.517,.515,3.9,1.7,39,,*6O/5,,longhe01
1893,27,BSN,NL,128,630,-3,0,0,7,8,12,0.9,20,32,2.9,.507,.506,2.4,1.2,25,,*6/4,,longhe01
1894,28,BSN,NL,104,522,-5,-1,0,-2,6,-1,-0.1,16,15,1.5,.499,.499,1.7,0.3,17,,*6/O4,,longhe01
1895,29,BSN,NL,125,595,-2,1,0,-3,8,4,0.3,19,24,2.3,.503,.502,2.5,0.4,27,,*6/4,,longhe01
1896,30,BSN,NL,120,545,13,1,0,5,8,27,2.1,18,45,4.0,.518,.513,3.6,1.0,40,,*6,,longhe01
1897,31,BSN,NL,107,492,3,0,0,4,7,13,1.1,16,30,2.7,.510,.507,2.4,0.9,26,,*6/O,,longhe01
1898,32,BSN,NL,144,645,-11,-1,0,14,9,12,1.1,21,34,3.4,.508,.507,2.1,2.2,20,,*6/4,,longhe01
1899,33,BSN,NL,145,651,-17,-1,0,7,10,-1,-0.2,21,20,2.1,.499,.499,1.5,1.5,13,"$2,400",*6/3,,longhe01
1900,34,BSN,NL,125,550,-10,0,0,8,8,6,0.5,19,25,2.4,.505,.504,1.7,1.5,17,,*6,,longhe01
1901,35,BSN,NL,138,562,-36,0,0,18,9,-8,-1.0,18,10,1.1,.494,.495,-0.7,2.7,-8,"$3,900",*6,,longhe01
1902,36,BSN,NL,120,481,-13,1,0,4,7,-1,-0.2,16,15,1.6,.499,.499,1.2,1.2,11,,*64,,longhe01
1903,37,NYY,AL,22,88,-8,0,0,-2,1,-8,-0.9,3,-5,-0.6,.460,.495,-0.3,-0.1,-3,,6,,longhe01
1903,37,DET,AL,69,260,-10,0,0,-3,3,-10,-1.2,9,-1,-0.1,.484,.493,0.3,-0.1,3,,64/H,,longhe01
1904,38,PHI,NL,1,4,0,0,0,0,0,0,0.0,0,0,0.0,.482,.500,0.0,0.0,0,,/4,,longhe01
1890,24,BSN,NL,52,235,2,0,0,1,1,4,0.3,8,12,1.1,.507,.502,1.1,0.1,11,,6O5,,lowebo01
1891,25,BSN,NL,125,559,-4,3,0,0,-6,-8,-0.9,19,11,1.0,.495,.496,1.2,-0.7,11,,*O4/651,,lowebo01
1892,26,BSN,NL,124,520,-12,3,0,7,-4,-7,-0.8,18,11,1.1,.495,.496,0.5,0.2,4,,O564,,lowebo01
1893,27,BSN,NL,126,585,2,-2,0,6,3,10,0.7,20,29,2.6,.506,.505,2.2,0.7,23,,*4/6,,lowebo01
1894,28,BSN,NL,133,678,7,-2,0,-1,3,7,0.4,21,28,2.5,.504,.503,2.7,0.1,29,,*4/65,,lowebo01
1895,29,BSN,NL,100,481,-2,-1,0,10,2,9,0.7,15,24,2.2,.507,.504,1.5,0.9,14,,*4,,lowebo01
1896,30,BSN,NL,73,336,0,-1,0,12,1,12,1.0,11,23,2.1,.514,.506,1.1,1.1,11,,4,,lowebo01
1897,31,BSN,NL,123,548,-2,-2,0,11,2,10,0.8,19,29,2.6,.507,.505,1.8,1.1,18,,*4,,lowebo01
1898,32,BSN,NL,147,611,-15,-1,0,17,2,4,0.3,21,25,2.5,.502,.502,0.9,1.8,8,,*4/6,,lowebo01
1899,33,BSN,NL,152,614,-24,-1,0,17,2,-7,-0.7,21,14,1.5,.496,.496,0.0,1.7,-3,"$2,400",*4/6,,lowebo01
1900,34,BSN,NL,127,514,-17,-1,0,0,1,-17,-1.6,18,1,0.2,.488,.490,0.2,0.1,1,,*4,,lowebo01
1901,35,BSN,NL,129,520,-23,0,0,-1,4,-21,-2.2,17,-4,-0.3,.484,.487,-0.1,0.2,-3,"$2,500",*54,,lowebo01
1902,36,CHC,NL,121,501,-11,0,0,14,0,3,0.2,16,19,2.1,.503,.502,0.5,1.6,5,"$3,500",*4/5,,lowebo01
1903,37,CHC,NL,32,118,0,0,0,1,0,1,0.1,4,5,0.5,.503,.501,0.4,0.1,4,"$3,500",4/3H5,,lowebo01
1904,38,PIT,NL,1,1,0,0,0,0,0,0,0.0,0,0,,.470,.500,,0.0,0,,/H,,lowebo01
1904,38,DET,AL,140,544,-21,0,0,-3,0,-24,-3.1,19,-4,-0.9,.479,.482,-0.4,-0.4,-1,,*4,,lowebo01
1905,39,DET,AL,58,199,-7,0,0,-1,0,-8,-1.0,7,-1,-0.2,.483,.494,-0.1,-0.2,0,,57/4896H3,,lowebo01
